Field code	Question	Answer options & meaning
email	1. Your email (to link with your assessment — kept private)	free text (stored in the "email" column)
fb_match_q2	2. Overall, the report described us accurately.	1–5 (Strongly disagree → Strongly agree)
fb_match_q3	3. Accuracy — Attachment section	Spot on / Mostly / Mixed / Off / Way off
fb_match_q4	4. Accuracy — Communication section	Spot on / Mostly / Mixed / Off / Way off
fb_match_q5	5. Accuracy — Attraction / polarity section	Spot on / Mostly / Mixed / Off / Way off
fb_match_q6	6. Accuracy — Intimacy section	Spot on / Mostly / Mixed / Off / Way off
fb_match_q7	7. Accuracy — Values section	Spot on / Mostly / Mixed / Off / Way off
fb_match_q8	8. Accuracy — Drive / goals section	Spot on / Mostly / Mixed / Off / Way off
fb_match_q9	9. Accuracy — Lifestyle section	Spot on / Mostly / Mixed / Off / Way off
fb_match_q10	10. The compatibility score was…	Higher than expected / About what we expected / Lower than expected
fb_match_q11	11. Did the report change how you see your dynamic?	Yes, new insight / A little / No
fb_match_q12	12. Report length / readability	Too little / Just right / A bit long / Too much text
fb_match_q13	13. It would be useful (e.g. as a conversation starter).	1–5 (Strongly disagree → Strongly agree)
fb_match_q14	14. Would you recommend Alunn to a friend?	No / Maybe / Yes, definitely
fb_match_q15	15. Anything to add to or remove from the report?	free text
